date,low,high,average,volume,close,open,range,twelveDay,twentySixDay,volumeEMA,singleDay,dayToDay,fiftyTwoDayHigh,fiftyTwoWeekHigh,fiftyTwoDayLow,fiftyTwoWeekLow,fiftyTwoWeekAverage,fiftyTwoDayStandDev,fiftyTwoWeekStandDev
2000-02-15,0.23104477611940322,1.0,0.6991044776119408,1.0,0.8662686567164173,0.23104477611940322,1.0,0.1171002135891237,-0.347552287129985,-1.0,-1.0,0.9862857142857138,1.0,1.0,-0.9438414346389807,-1.0,-0.05729581692570773,-0.27124926122637993,1.0
2000-02-16,0.3671328671328662,0.8041958041958033,0.6072261072261067,0.658972943125345,0.6503496503496502,0.4755244755244754,-0.7747747747747746,-0.15771728225741855,-0.8545138329300863,-1.0,0.19999999999999996,-0.4582857142857133,1.0,1.0,-0.9448946515397084,-1.0,-0.05913107126052164,-0.8383731638609282,1.0
2000-02-17,-0.6705476498490734,1.0,0.44315078338364255,-0.6947542794036443,1.0,-0.37990513152220795,1.0,-0.595284297226008,-1.0048712971136777,-1.0,-1.0,1.0,1.0,1.0,-0.9448946515397084,-1.0,-0.03202901906305489,-1.0,1.0
2000-02-18,0.19423163587201464,0.8990536277602519,0.600120174252665,1.0,0.7070752591257323,0.23388913925191512,-0.3298791018998285,-0.4770818578084942,-0.9680708867310134,-1.0,0.20246085011185722,-1.0,1.0,1.0,-0.9583843329253366,-1.0,-0.2509343853820598,1.0,1.0
2000-02-22,0.34603455914931347,1.0,0.608329641116526,-0.10754278470314815,0.47895436420026605,0.877713779353124,-0.3805411629245833,-0.3217536314158128,-0.8503381038245077,-1.0,1.0,-0.8961038961038961,1.0,1.0,-0.9583843329253366,-1.0,-0.23464833819791042,1.0,1.0
2000-02-23,0.3354505756252477,1.0,0.7520179965594822,-0.43274878512571313,0.9206034140531958,0.3354505756252477,-0.26655152561888285,-0.22065035894786367,-0.7445601896812305,-1.0,-0.15804878048780513,0.11688311688311681,1.0,1.0,-0.9586590237971166,-1.0,-0.22006411167432538,1.0,1.0
2000-02-24,0.26582902192658264,1.0,0.6140264432947355,0.33276991337418127,0.5762503079576247,0.31017491993101753,0.4853195164075994,-0.346783817704168,-0.7323124129025613,-1.0,0.03414634146341555,0.14805194805194777,1.0,1.0,-0.9604585479315502,-1.0,-0.23192477552427282,1.0,1.0
2000-02-25,0.40379403794037905,0.926090169992609,0.6567299006323388,-0.21622649482357914,0.64030549396403,0.4087213599408721,-0.009786989061599694,-0.19625675995369385,-0.6281342393874435,-1.0,0.1024390243902451,-0.5272727272727276,1.0,1.0,-0.9685143537504961,-1.0,-0.3708279184143559,1.0,1.0
2000-02-28,0.1549642769154962,0.6945060359694506,0.37997864827133077,-0.44162264948235797,0.2904656319290464,0.64030549396403,0.030512377662637036,-0.10982144871993915,-0.5525257728130357,-1.0,1.0,-1.0,1.0,1.0,-0.9685143537504961,-1.0,-0.3564826265263983,1.0,1.0
2000-02-29,0.3052475979305245,0.4974131559497412,0.41200624127453245,-0.92529284164859,0.43335796994333586,0.31017491993101753,-0.7946635730858458,-0.03154729522076927,-0.4801858717564683,-1.0,0.16883116883116922,-0.13419913419913398,1.0,1.0,-0.9685143537504961,-1.0,-0.34145106117589263,1.0,1.0
2000-03-01,0.4284243048403704,0.8146240988671469,0.639546858908342,-0.9403132432796302,0.6755921730175072,0.43872296601441785,-0.4072317723770007,0.02961047873173528,-0.45789620737642645,-1.0,-0.012987012987012214,0.06493506493506374,1.0,1.0,-0.9685143537504961,-1.0,-0.3249051126443806,1.0,1.0
2000-03-02,0.31691818903891966,0.7140587768069895,0.4987203247727474,-0.8437373782704304,0.4651840084723322,0.7087635689700822,-0.4072317723770007,0.07661001707306214,-0.42435364157831257,-1.0,0.7835497835497847,-0.7142857142857144,1.0,1.0,-0.9420558274904088,-1.0,-0.3102151960135823,1.0,1.0
